keys,value_size,num_threads,rdbcompression,rdbchecksum,valkey_data_throughput_mb_s,actual_throughput_mb_s,rdb_file_size_bytes,status,port,save_duration_seconds,cpu_utilization_percent,cpu_total_time_seconds,io_read_bytes,io_write_bytes,memory_rss_bytes,context_switches_voluntary,context_switches_involuntary
100000,100000,1,no,yes,1257.0990426736496,1257.1870394809469,10002300111,ok,7000,7.956095470988657,100.04907594467136,7.960000000000001,0,0,10285121536,1,107
100000,100000,2,no,yes,1095.2991368168387,1095.3758076469035,10002300111,ok,7000,9.131386726978235,116.08313520095277,10.6,0,0,10286182400,49524,51
100000,100000,3,no,yes,1094.2252035626127,1094.301799217457,10002300111,ok,7000,9.140348775952589,135.33400424001684,12.370000000000003,0,0,10286706688,37712,23
100000,100000,4,no,yes,1089.9346056225233,1090.0109009359408,10002300111,ok,7000,9.176330349000636,141.88678376664984,13.019999999999998,0,0,10287230976,24400,18
100000,100000,6,no,yes,1100.520974945537,1100.5980113037488,10002300111,ok,7000,9.088059407949913,160.87042726867452,14.619999999999997,0,0,10287230976,16837,11
100000,100000,8,no,yes,1088.376769212698,1088.4529554777225,10002300111,ok,7000,9.1894647909794,189.6737230780808,17.430000000000003,0,0,10287755264,15440,10
100000,100000,10,no,yes,1071.3507391544042,1071.425733599027,10002300111,ok,7000,9.33550482999999,239.72993863257437,22.379999999999995,0,0,10287755264,13685,9
