keys,value_size,num_threads,rdbcompression,rdbchecksum,valkey_data_throughput_mb_s,actual_throughput_mb_s,rdb_file_size_bytes,status,port,save_duration_seconds,cpu_utilization_percent,cpu_total_time_seconds,io_read_bytes,io_write_bytes,memory_rss_bytes,context_switches_voluntary,context_switches_involuntary
1000000,20000,1,yes,yes,206.544153806341,164.51652170407712,15943141637,ok,7000,96.90906099800486,99.95969314158802,96.87,0,0,20709216256,1,1525
1000000,20000,2,yes,yes,318.0217112549345,253.31061082027065,15943141637,ok,7000,62.939099098031875,198.08036941523122,124.67,0,0,20709715968,443,763
1000000,20000,3,yes,yes,456.3255473009401,363.4723637690064,15943141637,ok,7000,43.86342188902199,293.9123179358374,128.92000000000002,0,0,20711071744,1583,305
1000000,20000,4,yes,yes,672.495389084311,535.6559371702934,15943141637,ok,7000,29.76377284497721,387.04770594780496,115.20000000000002,0,0,20713213952,828,253
1000000,20000,6,yes,yes,892.1106949215598,710.5838911379359,15943141637,ok,7000,22.436677549034357,570.8510082211898,128.07999999999996,0,0,20715622400,1240,119
1000000,20000,8,yes,yes,1087.778778985295,866.437407228491,15943141637,ok,7000,18.400800223986153,721.7077430517946,132.80000000000004,0,0,20719562752,4055,73
1000000,20000,10,yes,yes,1156.8868349400623,921.4833466941473,15943141637,ok,7000,17.301605823042337,785.6496176728753,135.93000000000004,0,0,20722085888,4838,97
