keys,value_size,num_threads,rdbcompression,rdbchecksum,valkey_data_throughput_mb_s,actual_throughput_mb_s,rdb_file_size_bytes,status,port,save_duration_seconds,cpu_utilization_percent,cpu_total_time_seconds,io_read_bytes,io_write_bytes,memory_rss_bytes,context_switches_voluntary,context_switches_involuntary
5000000,5000,1,no,yes,444.12686895722715,444.4810390799236,25100000111,ok,7000,56.47035059798509,99.92854551537613,56.43000000000001,0,0,26104766464,1,897
5000000,5000,2,no,yes,557.6995918573488,558.144330842269,25100000111,ok,7000,44.970447111991234,193.5938056901945,87.05999999999999,0,0,26104672256,4301,506
5000000,5000,3,no,yes,768.4709554996916,769.083774654806,25100000111,ok,7000,32.636236699006986,249.20152635881146,81.33,0,0,26105647104,24956,233
5000000,5000,4,no,yes,803.0819862266125,803.7224060378817,25100000111,ok,7000,31.229688164021354,285.6256506037235,89.20000000000002,0,0,26103066624,22689,185
5000000,5000,6,no,yes,903.417756478956,904.1381893102538,25100000111,ok,7000,27.761243145971093,373.83052140106076,103.77999999999997,0,0,26101129216,15216,94
5000000,5000,8,no,yes,952.4478815025036,953.2074135340732,25100000111,ok,7000,26.332149492984172,339.6228630094452,89.42999999999995,0,0,26100051968,11746,110
5000000,5000,10,no,yes,926.5760738123731,927.3149743038481,25100000111,ok,7000,27.0673943660222,420.3581566123278,113.77999999999997,0,0,26099449856,9403,115
