num_threads,keys,value_size,rdbcompression,rdbchecksum,actual_throughput_mb_s,rdb_file_size_bytes,load_duration_seconds,avg_cpu_percent,avg_memory_rss_bytes,total_disk_read_bytes,total_disk_write_bytes,cpu_user_time_seconds,cpu_system_time_seconds,memory_rss_bytes_final,status,flamegraph_generated
1,0.1,500000,yes,yes,183.49427483352434,37944230610,206.787,81.94855072463768,25197313543.420288,37929074688,4096,135.06,35.26,50518835200,ok,False
2,0.1,500000,yes,yes,319.4846262850792,37944230610,118.767,153.6642857142857,25466500999.52941,37933531136,4096,142.81,40.84,50834616320,ok,False
3,0.1,500000,yes,yes,388.88441981306113,37944230610,97.572,242.96581632653061,25276192559.02041,37944233984,12288,194.99,43.8,50534260736,ok,False
4,0.1,500000,yes,yes,393.8206998515812,37944230610,96.349,342.7518134715026,25192973094.46632,37844402176,4096,286.95,45.26,50538643456,ok,False
6,0.1,500000,yes,yes,394.1315904770808,37944230610,96.273,541.7367875647668,25201164457.782383,37878218752,8192,477.42,47.19,50540081152,ok,False
8,0.1,500000,yes,yes,390.2924358156758,37944230610,97.22,739.5071794871794,25325288190.68718,37900763136,4096,677.25,45.81,50542444544,ok,False
10,0.1,500000,yes,yes,392.2046452566514,37944230610,96.746,939.7979381443299,24998000112.164948,37883199488,4096,867.52,46.77,50545053696,ok,False
15,0.1,500000,yes,yes,366.2464466279934,37944230610,103.603,1441.9350961538462,25204438193.23077,37944233984,4096,1450.85,50.8,50546823168,ok,False
1,0.1,500000,no,yes,392.64191910419396,50002555756,127.349,55.32078431372549,25232355858.070587,49913511936,4096,14.84,56.13,50516971520,ok,False
2,0.1,500000,no,yes,400.3086682891682,50002555756,124.91,144.8116,25123236823.04,49883365376,8192,124.94,56.82,50528784384,ok,False
3,0.1,500000,no,yes,402.93122118987566,50002555756,124.097,245.13548387096776,25275858944.0,49808916480,4096,249.18,56.26,50528813056,ok,False
4,0.1,500000,no,yes,415.07953144896857,50002555756,120.465,344.3414937759336,25046757206.041492,49856102400,8192,360.45,56.24,50527399936,ok,False
6,0.1,500000,no,yes,413.8119714318817,50002555756,120.834,543.0818181818182,25245018315.107437,49921900544,4096,602.08,57.15,50528133120,ok,False
8,0.1,500000,no,yes,411.8249977844947,50002555756,121.417,742.7423868312757,25134851109.925926,49879957504,8192,848.17,57.6,50528808960,ok,False
10,0.1,500000,no,yes,441.6367613428604,50002555756,113.221,934.6101321585903,25098300934.76652,49954930688,4096,1015.42,47.83,50528796672,ok,False
15,0.1,500000,no,yes,385.3613021155254,50002555756,129.755,1444.0361538461539,25276511720.369232,49956503552,4096,1816.95,64.38,50529386496,ok,False
