num_threads,keys,value_size,rdbcompression,rdbchecksum,actual_throughput_mb_s,rdb_file_size_bytes,load_duration_seconds,avg_cpu_percent,avg_memory_rss_bytes,total_disk_read_bytes,total_disk_write_bytes,cpu_user_time_seconds,cpu_system_time_seconds,memory_rss_bytes_final,status,flamegraph_generated
1,0.5,100000,yes,yes,179.9833855597366,38264467770,212.6,83.14305882352942,25701596306.974117,38181912576,4096,139.47,37.85,51421270016,ok,False
2,0.5,100000,yes,yes,305.9737703305666,38264467770,125.058,153.0344,26214207700.992,38165004288,4096,146.45,45.78,52196417536,ok,False
3,0.5,100000,yes,yes,378.1858663358997,38264467770,101.179,241.73546798029557,25811417663.054188,38238142464,8192,198.59,47.61,51441553408,ok,False
4,0.5,100000,yes,yes,378.5300559913738,38264467770,101.087,342.0320197044335,25666943692.295567,38264471552,8192,299.2,48.77,51441750016,ok,False
6,0.5,100000,yes,yes,380.0074261624327,38264467770,100.694,539.7351485148515,25791212939.40594,38232113152,8192,500.23,46.39,51441131520,ok,False
8,0.5,100000,yes,yes,378.54129011515175,38264467770,101.084,737.9512315270936,25612377486.502464,38264471552,4096,703.7,46.48,51437363200,ok,False
10,0.5,100000,yes,yes,381.2189189431526,38264467770,100.374,937.9348258706468,25618065112.517414,38158188544,4096,899.84,46.58,51442151424,ok,False
15,0.5,100000,yes,yes,357.3580239269304,38264467770,107.076,1438.2655813953488,25574947816.186047,38264471552,8192,1496.07,52.05,51439431680,ok,False
1,0.5,100000,no,yes,269.18732112945935,50011774018,185.788,41.74166666666667,25825442849.032257,49975377920,4096,17.87,60.18,51420663808,ok,False
2,0.5,100000,no,yes,385.1325623613849,50011774018,129.856,143.02269230769232,25699433393.23077,49914036224,8192,130.2,56.48,51431903232,ok,False
3,0.5,100000,no,yes,383.1439057534666,50011774018,130.53,242.4432950191571,25788881453.118774,49852694528,4096,261.86,55.9,51432517632,ok,False
4,0.5,100000,no,yes,390.43635838303715,50011774018,128.092,342.39143968871593,25948665784.280155,50011774976,12288,383.91,56.91,51436363776,ok,False
6,0.5,100000,no,yes,384.97840023709085,50011774018,129.908,540.6653846153846,25579678326.153847,49891491840,4096,648.25,57.07,51432902656,ok,False
8,0.5,100000,no,yes,390.9980143384307,50011774018,127.908,739.2937499999999,25667342432.0,49892540416,8192,893.55,56.02,51433160704,ok,False
10,0.5,100000,no,yes,395.02834860153393,50011774018,126.603,937.4582677165355,25438027582.48819,50011774976,8192,1136.66,55.58,51437387776,ok,False
15,0.5,100000,no,yes,411.76865711039386,50011774018,121.456,1430.0646090534979,25490003167.341564,49875763200,4096,1696.8,47.45,51433906176,ok,False
