num_threads,keys,value_size,rdbcompression,rdbchecksum,actual_throughput_mb_s,rdb_file_size_bytes,load_duration_seconds,avg_cpu_percent,avg_memory_rss_bytes,total_disk_read_bytes,total_disk_write_bytes,cpu_user_time_seconds,cpu_system_time_seconds,memory_rss_bytes_final,status,flamegraph_generated
1,0.1,1000000,yes,yes,159.52792874007793,75808309849,475.204,82.75484210526317,52338000635.149475,75760123904,4096,272.26,121.75,100592865280,ok,False
2,0.1,1000000,yes,yes,317.1245637881773,75808309849,239.049,154.29246861924688,49482908119.29707,75744133120,4096,288.04,81.78,101203169280,ok,False
3,0.1,1000000,yes,yes,434.97248641003426,75808309849,174.283,237.18825214899715,49211850411.6447,75745443840,8192,335.27,79.7,100614627328,ok,False
4,0.1,1000000,yes,yes,424.2068528700771,75808309849,178.706,337.4667597765363,49368001610.36871,75782144000,4096,525.98,79.23,100614623232,ok,False
6,0.1,1000000,yes,yes,420.2094711317805,75808309849,180.406,536.315512465374,49592477599.556786,75702452224,8192,890.82,79.65,100606533632,ok,False
8,0.1,1000000,yes,yes,421.92377179097576,75808309849,179.673,735.6833333333333,49315782656.0,75799707648,4096,1246.41,79.58,100615184384,ok,False
10,0.1,1000000,yes,yes,415.6544735474249,75808309849,182.383,935.3693150684932,48934128833.57808,75714772992,4096,1631.47,79.45,100618473472,ok,False
15,0.1,1000000,yes,yes,413.25943005342344,75808309849,183.44,1434.868392370572,49195870771.61853,75688558592,4096,2559.88,79.6,100613017600,ok,False
1,0.1,1000000,no,yes,426.9772137260846,100002760204,234.211,48.04669509594883,49878702075.63326,99983278080,4096,28.72,84.42,100591616000,ok,False
2,0.1,1000000,no,yes,419.8991438660726,100002760204,238.159,143.28784067085954,50469349895.513626,100002762752,12288,230.26,112.21,100607905792,ok,False
3,0.1,1000000,no,yes,413.6755723209041,100002760204,241.742,242.01301652892562,50036031225.65289,99977773056,4096,478.93,107.8,100606910464,ok,False
4,0.1,1000000,no,yes,435.39848835558877,100002760204,229.681,337.3708695652174,50066189766.12174,100001366016,8192,681.8,95.32,100608622592,ok,False
6,0.1,1000000,no,yes,434.7889384225423,100002760204,230.003,536.8908695652174,50163983938.78261,99859808256,4096,1144.17,93.56,100607930368,ok,False
8,0.1,1000000,no,yes,443.9338565866868,100002760204,225.265,737.2243902439025,49828305254.74058,99961257984,8192,1571.02,93.81,100608086016,ok,False
10,0.1,1000000,no,yes,439.7620082672976,100002760204,227.402,937.2410989010989,50524107823.261536,99906994176,4096,2041.24,95.07,100604375040,ok,False
15,0.1,1000000,no,yes,402.54870787041506,100002760204,248.424,1442.5090543259557,52000993172.86117,99920625664,4096,3478.14,112.92,100603314176,ok,False
