num_threads,keys,value_size,rdbcompression,rdbchecksum,actual_throughput_mb_s,rdb_file_size_bytes,load_duration_seconds,avg_cpu_percent,avg_memory_rss_bytes,total_disk_read_bytes,total_disk_write_bytes,cpu_user_time_seconds,cpu_system_time_seconds,memory_rss_bytes_final,status,flamegraph_generated
1,3.0,20000,yes,yes,173.74170473277562,47829875121,275.293,91.91470054446462,31619365031.25953,47824093184,4096,185.95,68.05,62123405312,ok,False
2,3.0,20000,yes,yes,304.6275427899956,47829875121,157.011,154.8235668789809,30902026892.229298,47759474688,4096,190.66,53.43,62162202624,ok,False
3,3.0,20000,yes,yes,389.13601588928753,47829875121,122.913,241.5487804878049,30991149855.219513,47713599488,8192,244.9,53.43,62137487360,ok,False
4,3.0,20000,yes,yes,381.82037807740204,47829875121,125.268,341.63824701195216,30732897471.74502,47778086912,4096,373.05,57.0,62136610816,ok,False
6,3.0,20000,yes,yes,389.643227627838,47829875121,122.753,541.35,31106247871.479675,47781494784,8192,608.3,59.32,62140801024,ok,False
8,3.0,20000,yes,yes,390.95859997547814,47829875121,122.34,740.9828571428571,30946306557.910206,47747416064,4096,850.8,59.73,62138003456,ok,False
10,3.0,20000,yes,yes,354.2035407190728,47829875121,135.035,937.4177777777778,30771568776.533333,47675588608,4096,1211.16,59.52,62137413632,ok,False
15,3.0,20000,yes,yes,328.01977259385245,47829875121,145.814,1439.363698630137,30884166585.863014,47781232640,4096,2038.32,67.99,62138613760,ok,False
1,3.0,20000,no,yes,261.4153613334204,60069328804,229.785,47.51521739130435,31392971615.72174,60043804672,4096,32.85,76.9,62123593728,ok,False
2,3.0,20000,no,yes,430.50575354757325,60069328804,139.532,135.56236559139785,30848159215.48387,59891499008,8192,135.49,54.41,62133022720,ok,False
3,3.0,20000,no,yes,395.0967777843551,60069328804,152.037,241.57540983606557,31078566311.029507,60069330944,8192,303.92,65.29,62136848384,ok,False
4,3.0,20000,no,yes,423.93101290085815,60069328804,141.696,335.4274647887324,30769794812.394367,60037775360,8192,421.41,56.02,62131752960,ok,False
6,3.0,20000,no,yes,396.7198018954529,60069328804,151.415,540.8904290429043,31175406595.37954,59962277888,4096,754.29,67.64,62133407744,ok,False
8,3.0,20000,no,yes,390.7075274252821,60069328804,153.745,741.0457792207792,31199721378.909092,60032532480,8192,1075.01,68.42,62132867072,ok,False
10,3.0,20000,no,yes,394.7281083723773,60069328804,152.179,940.0022950819672,30977898140.118034,60055339008,4096,1366.67,69.0,62132875264,ok,False
15,3.0,20000,no,yes,402.9308148187898,60069328804,149.081,1434.265100671141,30665341505.28859,59903033344,4096,2082.89,62.57,62138441728,ok,False
