test_type,num_threads,num_keys_millions,value_size_bytes,primary_port,status,bgsave_duration_seconds,primary_cpu_time_seconds,primary_net_write_mb_s
primary_bgsave,1,5.0,20000,7000,ok,557.6486560429985,557.45,143.5566027416863
primary_bgsave,2,5.0,20000,7000,ok,336.31509967199963,653.4,237.45097435079185
primary_bgsave,3,5.0,20000,7000,ok,298.77599148899753,707.91,267.24067081855975
primary_bgsave,4,5.0,20000,7000,ok,299.05177304099925,780.6600000000001,266.94672742854925
primary_bgsave,6,5.0,20000,7000,ok,298.24385737200646,720.99,267.65102764692347
primary_bgsave,8,5.0,20000,7000,ok,297.9543717339984,725.0,267.91275044376664
primary_bgsave,10,5.0,20000,7000,ok,314.88561268599733,739.5799999999999,253.55438657534586
primary_bgsave,15,5.0,20000,7000,ok,298.0242367739993,737.98,267.9053582126839
