keys,value_size,num_threads,rdbcompression,rdbchecksum,valkey_data_throughput_mb_s,actual_throughput_mb_s,rdb_file_size_bytes,status,port,save_duration_seconds,cpu_utilization_percent,cpu_total_time_seconds,io_read_bytes,io_write_bytes,memory_rss_bytes,context_switches_voluntary,context_switches_involuntary,iowait_time_seconds,iowait_percentage
20000000,200,1,yes,yes,0,164.4477414836341,4400000034,ok,7000,26.756220512994332,293.31496936155554,78.47999999999956,0,0,5651480576,1,361,0.19000000000005457,0.7101152418286426
20000000,200,2,yes,yes,0,458.54073040522496,4400000034,ok,7000,9.595658013000502,303.2621625382328,29.099999999998545,0,0,5651652608,8,141,0.009999999999990905,0.10421380155944061
20000000,200,3,yes,yes,0,651.8899043718309,4400000034,ok,7000,6.749606036988553,402.24569924846867,27.150000000001455,0,0,5656154112,149,51,0.029999999999972715,0.444470385909482
20000000,200,4,yes,yes,0,793.9963404309404,4400000034,ok,7000,5.541587297004298,610.655362558189,33.840000000000146,0,0,5656453120,120,42,0.0,0.0
20000000,200,5,yes,yes,0,1005.0326484136331,4400000034,ok,7000,4.3779672639939236,758.7996436887846,33.219999999997526,0,0,5656616960,89,19,0.01999999999998181,0.456833018475708
20000000,200,6,yes,yes,0,1024.198768556132,4400000034,ok,7000,4.296041129011428,635.468776489058,27.299999999995634,0,0,5658054656,174,11,0.0,0.0
20000000,200,7,yes,yes,0,998.6090968643391,4400000034,ok,7000,4.406128531991271,629.5776393854993,27.7400000000016,0,0,5658992640,155,19,0.009999999999990905,0.22695661116975138
20000000,200,8,yes,yes,0,1034.7342492073165,4400000034,ok,7000,4.252299599989783,556.1696546512067,23.649999999997817,0,0,5659889664,138,13,0.010000000000104592,0.23516687300510572
20000000,200,9,yes,yes,0,1004.3725472614469,4400000034,ok,7000,4.380844584011356,538.252374577664,23.57999999999811,0,0,5660020736,123,15,0.009999999999990905,0.22826648624988022
20000000,200,10,yes,yes,0,964.077153573817,4400000034,ok,7000,4.563950113006285,540.3214187141115,24.659999999999854,0,0,5658513408,113,12,0.009999999999990905,0.21910844230073934
20000000,200,12,yes,yes,0,1014.8070935486937,4400000034,ok,7000,4.33579944599478,541.7686009830778,23.489999999997963,0,0,5661249536,100,12,0.009999999999990905,0.23063797402410904
20000000,200,14,yes,yes,0,970.6084971783193,4400000034,ok,7000,4.533238733012695,608.6156415960041,27.590000000003783,0,0,5666725888,90,11,0.009999999999990905,0.22059283856301817
20000000,200,16,yes,yes,0,967.7450619532553,4400000034,ok,7000,4.546652012999402,654.3276220599536,29.75,0,0,5665394688,81,11,0.0,0.0
20000000,200,20,yes,yes,0,970.1544406632751,4400000034,ok,7000,4.535360401991056,584.738535626804,26.520000000000437,0,0,5665841152,74,8,0.029999999999972715,0.661468931703917
20000000,200,25,yes,yes,0,944.7094373465188,4400000034,ok,7000,4.657516756007681,595.1669409291585,27.719999999993888,0,0,5666820096,67,8,0.0,0.0
20000000,200,30,yes,yes,0,970.8163175980809,4400000034,ok,7000,4.53226831300708,603.8918728940632,27.37000000000262,0,0,5665849344,65,6,0.009999999999990905,0.22064007047623538
