keys,value_size,num_threads,rdbcompression,rdbchecksum,valkey_data_throughput_mb_s,actual_throughput_mb_s,rdb_file_size_bytes,status,port,save_duration_seconds,cpu_utilization_percent,cpu_total_time_seconds,io_read_bytes,io_write_bytes,memory_rss_bytes,context_switches_voluntary,context_switches_involuntary,iowait_time_seconds,iowait_percentage
20000000,200,1,yes,yes,0,166.46429654110617,4400000059,ok,7000,26.43209475200274,210.31250274174886,55.59000000000742,0,0,5649264640,1,393,0.05999999999994543,0.22699676496657262
20000000,200,2,yes,yes,0,365.4225830603858,4400000059,ok,7000,12.040854241000488,361.02089710526684,43.469999999997526,0,0,5649571840,20,174,0.020000000000095497,0.16610117189188459
20000000,200,3,yes,yes,0,413.6011999067052,4400000059,ok,7000,10.638267152011395,432.0252475640549,45.960000000002765,0,0,5653790720,47,131,0.01999999999998181,0.18800054289105136
20000000,200,4,yes,yes,0,410.88251470269887,4400000059,ok,7000,10.708657344992389,537.228880770051,57.530000000002474,0,0,5654302720,58,45,0.01999999999998181,0.18676477690580195
20000000,200,5,yes,yes,0,421.0249252435072,4400000059,ok,7000,10.450687821998144,634.0252539217655,66.25999999999476,0,0,5654433792,81,77,0.01999999999998181,0.19137496345343766
20000000,200,6,yes,yes,0,428.0315338104376,4400000059,ok,7000,10.27961659700668,732.42031246497,75.28999999999724,0,0,5656408064,60,80,0.05999999999994543,0.5836793564598199
20000000,200,7,yes,yes,0,436.93503322247255,4400000059,ok,7000,10.070147102989722,807.8332835460424,81.34999999999854,0,0,5656711168,58,24,0.04000000000007731,0.3972136612403777
20000000,200,8,yes,yes,0,437.3745979573696,4400000059,ok,7000,10.060026530001778,944.7291189199323,95.03999999999724,0,0,5656387584,59,37,0.01999999999998181,0.198806632769171
20000000,200,9,yes,yes,0,443.2411646311977,4400000059,ok,7000,9.926875953999115,1004.4449075625507,99.70999999999549,0,0,5652754432,58,18,0.009999999999990905,0.100736626974394
20000000,200,10,yes,yes,0,447.4319337661234,4400000059,ok,7000,9.833898134995252,1108.410911966969,109.00000000000364,0,0,5653417984,48,41,0.01999999999998181,0.20337814898457324
20000000,200,12,yes,yes,0,453.0126074030869,4400000059,ok,7000,9.712754098000005,1404.8538511655563,136.44999999999345,0,0,5654552576,63,41,0.05000000000006821,0.5147870469650202
20000000,200,14,yes,yes,0,460.1471367743643,4400000059,ok,7000,9.562158942993847,1478.0134992794033,141.33000000000175,0,0,5655773184,52,28,0.029999999999972715,0.3137366799571303
20000000,200,16,yes,yes,0,462.65728569937954,4400000059,ok,7000,9.510279412003001,1695.533779969546,161.25,0,0,5656854528,49,32,0.01999999999998181,0.2102987634068842
20000000,200,20,yes,yes,0,469.4538529626295,4400000059,ok,7000,9.372593346997746,2088.7495355029605,195.7699999999968,0,0,5657284608,48,24,0.01999999999998181,0.21338811212147876
20000000,200,25,yes,yes,0,475.6176479089043,4400000059,ok,7000,9.25112867099233,2561.849569157291,237.00000000000364,0,0,5662121984,43,11,0.009999999999990905,0.10809491852974355
20000000,200,30,yes,yes,0,479.16864055134715,4400000059,ok,7000,9.182570991993998,3073.1044741829696,282.18999999999505,0,0,5662183424,51,19,0.01999999999998181,0.21780392460258893
