keys,value_size,num_threads,rdbcompression,rdbchecksum,valkey_data_throughput_mb_s,actual_throughput_mb_s,rdb_file_size_bytes,status,port,save_duration_seconds,cpu_utilization_percent,cpu_total_time_seconds,io_read_bytes,io_write_bytes,memory_rss_bytes,context_switches_voluntary,context_switches_involuntary
5000000,10000,1,no,yes,310.7086597571186,0.0,0,ok,7000,160.92245397693478,99.91769080469417,160.78999999999996,0,50100006912,51910819840,233,2133
5000000,10000,2,no,yes,401.78545610042676,0.0,0,ok,7000,124.44452441181056,76.72495069693748,95.47999999999999,0,50100006912,51910881280,80561,649
5000000,10000,4,no,yes,401.52452576512513,0.0,0,ok,7000,124.52539456891827,78.2490995811076,97.44000000000003,0,50100015104,51910975488,34975,149
5000000,10000,6,no,yes,400.5398446323719,0.0,0,ok,7000,124.83152592694387,80.04388255133318,99.91999999999999,0,50100015104,51910615040,22434,113
5000000,10000,8,no,yes,401.2856164217044,0.0,0,ok,7000,124.59953198884614,82.68891411985642,103.03,0,50100023296,51910131712,17192,100
5000000,10000,10,no,yes,401.0834457620658,0.0,0,ok,7000,124.6623377960641,88.74372320931462,110.62999999999994,0,50100019200,51910328320,13186,91
