keys,value_size,num_threads,rdbcompression,rdbchecksum,valkey_data_throughput_mb_s,actual_throughput_mb_s,rdb_file_size_bytes,status,port,save_duration_seconds,cpu_utilization_percent,cpu_total_time_seconds,io_read_bytes,io_write_bytes,memory_rss_bytes,context_switches_voluntary,context_switches_involuntary
100000000,50,1,no,yes,158.00461321605871,165.18664374686625,6900000111,ok,7000,41.770932289015036,99.94988790561291,41.75,0,0,11028541440,1,615
100000000,50,2,no,yes,406.5939902283059,425.07554207685513,6900000111,ok,7000,16.23240913200425,196.58203376038256,31.910000000000018,0,0,11028541440,22539,53
100000000,50,3,no,yes,576.4252114156537,602.6263670835166,6900000111,ok,7000,11.449880867963657,284.4571081183007,32.57000000000001,0,0,11028541440,4262,92
100000000,50,4,no,yes,686.2019726291812,717.3929829257225,6900000111,ok,7000,9.618159467994701,361.087795597143,34.72999999999996,0,0,11028541440,2314,50
100000000,50,6,no,yes,644.8068296703651,674.1162418634965,6900000111,ok,7000,10.235623595013749,363.43657672329664,37.199999999999996,0,0,11029065728,20057,31
100000000,50,8,no,yes,550.5543028883774,575.579507733535,6900000111,ok,7000,11.987918295024429,335.17078621295497,40.18000000000004,0,0,11029065728,13330,24
100000000,50,10,no,yes,542.3366404115417,566.9883150059097,6900000111,ok,7000,12.169563160976395,309.04971281633425,37.60999999999996,0,0,11029065728,10531,22
