keys,value_size,num_threads,rdbcompression,rdbchecksum,valkey_data_throughput_mb_s,actual_throughput_mb_s,rdb_file_size_bytes,status,port,save_duration_seconds,cpu_utilization_percent,cpu_total_time_seconds,io_read_bytes,io_write_bytes,memory_rss_bytes,context_switches_voluntary,context_switches_involuntary,iowait_time_seconds,iowait_percentage
10000000,1000,1,yes,yes,0,120.26125299069679,10130117163,ok,7000,84.23425593099091,101.65697916314791,85.63000000000011,0,10130128896,11162882048,36,299,0.03000000000002956,0.03561496408849046
10000000,1000,2,yes,yes,0,271.6608096734342,10130339228,ok,7000,37.290396212018095,197.85255050795772,73.78000000000065,0,10130345984,11165560832,1784,78,0.029999999999972715,0.08044966813815776
10000000,1000,3,yes,yes,0,344.62430094907506,10130339251,ok,7000,29.39531316596549,295.9655490274906,87.0,0,10130341888,11166756864,694,78,0.040000000000020464,0.1360761144954676
10000000,1000,4,yes,yes,0,473.6223540419552,10130339272,ok,7000,21.38906490697991,375.986516239691,80.42000000000007,0,10130345984,11167985664,1929,49,0.029999999999972715,0.14025858601318653
10000000,1000,5,yes,yes,0,630.0103760749712,10130339297,ok,7000,16.07963881501928,494.0409477717703,79.43999999999869,0,10130341888,11169239040,1326,40,0.08000000000004093,0.49752361306347537
10000000,1000,6,yes,yes,0,755.0446491777387,10130339272,ok,7000,13.416874463029671,571.5190986641085,76.68000000000211,0,10130341888,11170512896,2664,580,0.46999999999997044,3.5030513350561643
10000000,1000,7,yes,yes,0,753.665963151549,10130339274,ok,7000,13.441418041009456,556.8608890195502,74.84999999999945,0,10130345984,11164057600,7518,775,2.410000000000025,17.9296558789197
10000000,1000,8,yes,yes,0,755.0118873993943,10130339320,ok,7000,13.417456716997549,556.5138131237983,74.66999999999825,0,10130341888,11165319168,6480,740,2.3700000000000045,17.66355614173611
10000000,1000,9,yes,yes,0,754.7868690553025,10130339320,ok,7000,13.42145675199572,559.4027637040042,75.08000000000175,0,10130341888,11166621696,4587,253,2.2099999999999795,16.4661708548989
10000000,1000,10,yes,yes,0,755.2458736415792,10130339341,ok,7000,13.413299820036627,550.8711576671411,73.89000000000033,0,10130345984,11165622272,3919,591,2.25,16.774395787671704
10000000,1000,12,yes,yes,0,753.8723985860278,10130339320,ok,7000,13.437737392960116,584.2501434886639,78.50999999999931,0,10130341888,11168976896,4610,532,2.019999999999982,15.032292572246856
10000000,1000,14,yes,yes,0,755.3301243428502,10130339410,ok,7000,13.411803770984989,591.0465240439302,79.26999999999953,0,10130341888,11172483072,3679,149,2.1000000000000227,15.657849129459747
10000000,1000,16,yes,yes,0,755.0162499282985,10130339412,ok,7000,13.417379311984405,576.938299201679,77.41000000000076,0,10130345984,11175170048,4715,160,2.089999999999975,15.576812367026003
10000000,1000,20,yes,yes,0,755.2032105312788,10130339433,ok,7000,13.41405768902041,586.0270010941063,78.60999999999967,0,10130341888,11167596544,2768,324,1.7700000000000387,13.19511247852175
10000000,1000,25,yes,yes,0,754.154225035874,10130339504,ok,7000,13.432715972012375,591.9130588755224,79.50999999999931,0,10130341888,11170619392,1560,245,1.6200000000000045,12.060107601287353
10000000,1000,30,yes,yes,0,752.2162607491812,10130339569,ok,7000,13.467323291988578,621.6528569549043,83.72000000000025,0,10130345984,11174371328,1134,191,1.490000000000009,11.063816971605473
