keys,value_size,num_threads,rdbcompression,rdbchecksum,valkey_data_throughput_mb_s,actual_throughput_mb_s,rdb_file_size_bytes,status,port,save_duration_seconds,cpu_utilization_percent,cpu_total_time_seconds,io_read_bytes,io_write_bytes,memory_rss_bytes,context_switches_voluntary,context_switches_involuntary,iowait_time_seconds,iowait_percentage
10000000,1000,1,yes,yes,0,128.61605312361235,10130122439,ok,7000,78.76250431401422,101.36803126736447,79.83999999998923,0,0,11164307456,1,276,0.12000000000011823,0.15235676042206117
10000000,1000,2,yes,yes,0,296.23355234193116,10130344527,ok,7000,34.19715439697029,200.57224412241683,68.59000000001106,0,0,11167059968,47,76,0.009999999999990905,0.029242199172211998
10000000,1000,3,yes,yes,0,391.03244960996494,10130344504,ok,7000,25.90665944502689,298.57187942016526,77.34999999999854,0,0,11168239616,469,61,0.01999999999998181,0.07720022738717501
10000000,1000,4,yes,yes,0,517.2161580942959,10130344550,ok,7000,19.586287843994796,398.03356624262955,77.95999999999913,0,0,11169452032,834,30,0.0,0.0
10000000,1000,5,yes,yes,0,649.6829750317161,10130344550,ok,7000,15.592750524985604,492.98550551959704,76.8700000000099,0,0,11170729984,1084,19,0.009999999999990905,0.0641323670507461
10000000,1000,6,yes,yes,0,834.2030968764095,10130344573,ok,7000,12.1437388699851,587.627918913613,71.35999999999694,0,0,11172012032,1371,20,0.0,0.0
10000000,1000,7,yes,yes,0,1007.7838243449015,10130344594,ok,7000,10.052100807020906,692.591542171509,69.61999999998079,0,0,11166683136,259,16,0.009999999999990905,0.09948169235436229
10000000,1000,8,yes,yes,0,1133.4263554359354,10130344573,ok,7000,8.93780572898686,791.3575450695083,70.72999999999229,0,0,11166773248,387,16,0.0,0.0
10000000,1000,9,yes,yes,0,1282.2589749795322,10130344619,ok,7000,7.900388935988303,887.0449362406157,70.07999999999811,0,0,11167965184,301,19,0.0,0.0
10000000,1000,10,yes,yes,0,1443.0364232804448,10130344619,ok,7000,7.020158642961178,988.1543071616628,69.37000000000262,0,0,11167039488,585,11,0.009999999999990905,0.1424469233329576
10000000,1000,12,yes,yes,0,1652.856822908251,10130344663,ok,7000,6.1289910430205055,1136.8918556237224,69.68000000000757,0,0,11170463744,800,19,0.0,0.0
10000000,1000,14,yes,yes,0,1605.705635734445,10130344619,ok,7000,6.308967467979528,1156.607644125195,72.97000000002299,0,0,11182039040,687,10,0.0,0.0
10000000,1000,16,yes,yes,0,1613.839197586208,10130344684,ok,7000,6.277171046007425,1131.0827676932195,71.00000000001819,0,0,11175112704,625,18,0.0,0.0
10000000,1000,20,yes,yes,0,1604.281136006009,10130344686,ok,7000,6.314569472044241,1158.115376253902,73.12999999997919,0,0,11172294656,509,10,0.0,0.0
10000000,1000,25,yes,yes,0,1472.932740315345,10130344778,ok,7000,6.877669631969184,1166.092648986848,80.19999999999345,0,0,11174289408,412,9,0.009999999999990905,0.14539808590846418
10000000,1000,30,yes,yes,0,1486.0816680336852,10130344757,ok,7000,6.81681564002065,1147.7499778732604,78.23999999999796,0,0,11184394240,353,11,0.01999999999998181,0.29339212113298735
