keys,value_size,num_threads,rdbcompression,rdbchecksum,valkey_data_throughput_mb_s,actual_throughput_mb_s,rdb_file_size_bytes,status,port,save_duration_seconds,cpu_utilization_percent,cpu_total_time_seconds,io_read_bytes,io_write_bytes,memory_rss_bytes,context_switches_voluntary,context_switches_involuntary
5000000,5000,1,yes,yes,147.37361309859602,132.56930203645962,22560606510,ok,7000,170.17971855803626,99.95903239315062,170.11,0,0,26104893440,1,2500
5000000,5000,2,yes,yes,366.3303260209243,329.5308747224118,22560606510,ok,7000,68.46280042501166,199.3491343514185,136.48000000000002,0,0,26105405440,10333,341
5000000,5000,3,yes,yes,547.501571478467,492.5026920945906,22560606510,ok,7000,45.80808769603027,298.63722080643646,136.79999999999998,0,0,26106454016,5765,223
5000000,5000,4,yes,yes,719.6797774291116,647.384859321474,22560606510,ok,7000,34.84883247601101,396.7134339297234,138.24999999999994,0,0,26106966016,4187,218
5000000,5000,6,yes,yes,1059.3235558010094,952.9099644816828,22560606510,ok,7000,23.675485985993873,586.3448804477518,138.82000000000002,0,0,26107412480,4860,69
5000000,5000,8,yes,yes,1197.2210294511153,1076.9550458908984,22560606510,ok,7000,20.948512749979272,671.7899341094716,140.73,0,0,26107330560,10649,99
5000000,5000,10,yes,yes,1122.9914504016656,1010.1821461964178,22560606510,ok,7000,22.333206536015496,646.705164200608,144.42999999999992,0,0,26107641856,8450,60
