keys,value_size,num_threads,rdbcompression,rdbchecksum,valkey_data_throughput_mb_s,actual_throughput_mb_s,rdb_file_size_bytes,status,port,save_duration_seconds,cpu_utilization_percent,cpu_total_time_seconds,io_read_bytes,io_write_bytes,memory_rss_bytes,context_switches_voluntary,context_switches_involuntary
40000000,50,1,yes,yes,124.84614936505277,130.52097953811443,2760000110,ok,7000,21.146026636997703,99.92420970013512,21.130000000000017,0,0,4525289472,1,312
40000000,50,2,yes,yes,333.13950237883864,348.2822209132348,2760000110,ok,7000,7.924608103057835,197.10753890747952,15.619999999999997,0,0,4526338048,439,78
40000000,50,3,yes,yes,397.6288485667624,415.70290370584746,2760000110,ok,7000,6.639357303967699,292.9500418418003,19.450000000000003,0,0,4526862336,1161,50
40000000,50,4,yes,yes,509.90405359294897,533.0815318204488,2760000110,ok,7000,5.177444621978793,387.0635315910112,20.039999999999996,0,0,4527910912,809,40
40000000,50,6,yes,yes,694.0507389700892,725.5985287511469,2760000110,ok,7000,3.8037564860424027,552.0858150898437,20.999999999999993,0,0,4528824320,769,38
40000000,50,8,yes,yes,844.467439811708,882.8523586256562,2760000110,ok,7000,3.1262306579737924,683.8906766353905,21.379999999999992,0,0,4530757632,886,22
40000000,50,10,yes,yes,919.9837556202224,961.8012373901618,2760000110,ok,7000,2.869615886011161,729.3659092852758,20.930000000000028,0,0,4532109312,968,20
